+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| G?AFNs |         8          |        22       |   3   |        3         |
| G?AFM{ |         8          |        22       |   3   |        4         |
| G?AFN{ |         8          |        24       |   3   |        4         |
| G?AFvo |         8          |        22       |   4   |        2         |
| G?AFvg |         8          |        22       |   3   |        3         |
| G?AFrw |         8          |        22       |   4   |        3         |
| G?AFvw |         8          |        24       |   3   |        3         |
| G?AFvs |         8          |        24       |   3   |        3         |
| G?AFvk |         8          |        24       |   3   |        3         |
| G?AFr{ |         8          |        24       |   3   |        3         |
| G?AFv{ |         8          |        26       |   3   |        3         |
| G?AFnW |         8          |        22       |   3   |        3         |
| G?AFnw |         8          |        24       |   3   |        3         |
| G?AFn[ |         8          |        24       |   3   |        4         |
| G?AFn{ |         8          |        26       |   3   |        4         |
| G?AF~w |         8          |        26       |   3   |        3         |
| G?AF~{ |         8          |        28       |   3   |        4         |
| G?BEDo |         8          |        16       |   4   |        2         |
| G?BEFo |         8          |        18       |   4   |        2         |
| G?BEDw |         8          |        18       |   3   |        3         |
| G?BEFw |         8          |        20       |   3   |        3         |
| G?BEF{ |         8          |        22       |   3   |        3         |
| G?BDAo |         8          |        14       |  inf  |        2         |
| G?BDEo |         8          |        16       |   4   |        2         |
| G?BDBo |         8          |        16       |   6   |        2         |
| G?BDCw |         8          |        16       |   3   |        3         |
| G?BDAw |         8          |        16       |   3   |        3         |
| G?BD@w |         8          |        16       |   5   |        3         |
| G?BD?{ |         8          |        16       |   4   |        2         |
| G?BDFo |         8          |        18       |   4   |        2         |
| G?BDEw |         8          |        18       |   3   |        3         |
| G?BDDw |         8          |        18       |   3   |        3         |
| G?BDBw |         8          |        18       |   3   |        3         |
| G?BDC{ |         8          |        18       |   3   |        3         |
| G?BDA{ |         8          |        18       |   3   |        3         |
| G?BDFw |         8          |        20       |   3   |        3         |
| G?BDE{ |         8          |        20       |   3   |        3         |
| G?BDB{ |         8          |        20       |   3   |        3         |
| G?BDF{ |         8          |        22       |   3   |        3         |
| G?B@dO |         8          |        14       |  inf  |        2         |
| G?B@`W |         8          |        14       |  inf  |        2         |
| G?B@_[ |         8          |        14       |  inf  |        2         |
| G?B@fO |         8          |        16       |   4   |        2         |
| G?B@dW |         8          |        16       |   3   |        3         |
| G?B@`w |         8          |        16       |   4   |        2         |
| G?B@c[ |         8          |        16       |   3   |        3         |
| G?B@fo |         8          |        18       |   4   |        2         |
| G?B@fW |         8          |        18       |   3   |        3         |
| G?B@dw |         8          |        18       |   3   |        3         |
| G?B@e[ |         8          |        18       |   3   |        3         |
| G?B@d[ |         8          |        18       |   3   |        3         |
| G?B@fw |         8          |        20       |   3   |        3         |
| G?B@f[ |         8          |        20       |   3   |        3         |
| G?B@f{ |         8          |        22       |   3   |        3         |
| G?BF?w |         8          |        16       |   4   |        2         |
| G?BFEo |         8          |        18       |   4   |        2         |
| G?BFDo |         8          |        18       |   4   |        2         |
| G?BFCw |         8          |        18       |   3   |        3         |
| G?BF@w |         8          |        18       |   4   |        3         |
| G?BFFo |         8          |        20       |   4   |        2         |
| G?BFEw |         8          |        20       |   3   |        3         |
| G?BFDw |         8          |        20       |   3   |        3         |
| G?BFEs |         8          |        20       |   3   |        3         |
| G?BFDs |         8          |        20       |   3   |        3         |
| G?BFC{ |         8          |        20       |   3   |        3         |
| G?BF@{ |         8          |        20       |   3   |        3         |
| G?BFFw |         8          |        22       |   3   |        3         |
| G?BFFs |         8          |        22       |   3   |        3         |
| G?BFE{ |         8          |        22       |   3   |        3         |
| G?BFD{ |         8          |        22       |   3   |        3         |
| G?BFF{ |         8          |        24       |   3   |        3         |
| G?BDbO |         8          |        16       |   6   |        2         |
| G?BDaW |         8          |        16       |   3   |        3         |
| G?BD`W |         8          |        16       |   5   |        3         |
| G?BDfO |         8          |        18       |   4   |        2         |
| G?BDdo |         8          |        18       |   4   |        2         |
| G?BDbo |         8          |        18       |   4   |        2         |
| G?BDeW |         8          |        18       |   3   |        3         |
| G?BDdW |         8          |        18       |   3   |        3         |
| G?BDbW |         8          |        18       |   3   |        3         |
| G?BD`w |         8          |        18       |   4   |        3         |
| G?BDeS |         8          |        18       |   3   |        3         |
| G?BDdS |         8          |        18       |   3   |        3         |
| G?BDbS |         8          |        18       |   3   |        3         |
| G?BDfo |         8          |        20       |   4   |        2         |
| G?BDfW |         8          |        20       |   3   |        3         |
| G?BDdw |         8          |        20       |   3   |        3         |
| G?BDbw |         8          |        20       |   3   |        3         |
| G?BDfS |         8          |        20       |   3   |        3         |
| G?BDds |         8          |        20       |   3   |        3         |
| G?BDbs |         8          |        20       |   3   |        3         |
| G?BDe[ |         8          |        20       |   3   |        3         |
| G?BDd[ |         8          |        20       |   3   |        3         |
| G?BDb[ |         8          |        20       |   3   |        3         |
| G?BD`{ |         8          |        20       |   3   |        3         |
| G?BDfw |         8          |        22       |   3   |        3         |
| G?BDfs |         8          |        22       |   3   |        3         |
| G?BDf[ |         8          |        22       |   3   |        3         |
| G?BDd{ |         8          |        22       |   3   |        3         |
| G?BDb{ |         8          |        22       |   3   |        3         |
| G?BDf{ |         8          |        24       |   3   |        3         |
| G?B@v? |         8          |        16       |   4   |        2         |
| G?B@t_ |         8          |        16       |   4   |        2         |
| G?B@v_ |         8          |        18       |   4   |        2         |
| G?B@to |         8          |        18       |   4   |        2         |
| G?B@vG |         8          |        18       |   3   |        3         |
| G?B@tg |         8          |        18       |   3   |        3         |
| G?B@pw |         8          |        18       |   4   |        2         |
| G?B@vC |         8          |        18       |   3   |        3         |
| G?B@tc |         8          |        18       |   3   |        3         |
| G?B@uK |         8          |        18       |   3   |        3         |
| G?B@tK |         8          |        18       |   3   |        3         |
| G?B@vo |         8          |        20       |   4   |        2         |
| G?B@vg |         8          |        20       |   3   |        3         |
| G?B@tw |         8          |        20       |   3   |        3         |
| G?B@vc |         8          |        20       |   3   |        3         |
| G?B@ts |         8          |        20       |   3   |        3         |
| G?B@vK |         8          |        20       |   3   |        3         |
| G?B@tk |         8          |        20       |   3   |        3         |
| G?B@p{ |         8          |        20       |   3   |        3         |
| G?B@vw |         8          |        22       |   3   |        3         |
| G?B@vs |         8          |        22       |   3   |        3         |
| G?B@vk |         8          |        22       |   3   |        3         |
| G?B@t{ |         8          |        22       |   3   |        3         |
| G?B@v{ |         8          |        24       |   3   |        3         |
| G?BELo |         8          |        18       |   3   |        3         |
| G?BENo |         8          |        20       |   3   |        3         |
| G?BELw |         8          |        20       |   3   |        3         |
| G?BEH{ |         8          |        20       |   3   |        3         |
| G?BENw |         8          |        22       |   3   |        3         |
| G?BEL{ |         8          |        22       |   3   |        4         |
| G?BEN{ |         8          |        24       |   3   |        4         |
| G?BDMo |         8          |        18       |   3   |        3         |
| G?BDJo |         8          |        18       |   3   |        3         |
| G?BDKw |         8          |        18       |   3   |        3         |
| G?BDHw |         8          |        18       |   3   |        3         |
| G?BDG{ |         8          |        18       |   3   |        3         |
| G?BDNo |         8          |        20       |   3   |        3         |
| G?BDMw |         8          |        20       |   3   |        3         |
| G?BDLw |         8          |        20       |   3   |        3         |
| G?BDJw |         8          |        20       |   3   |        3         |
| G?BDK{ |         8          |        20       |   3   |        4         |
| G?BDI{ |         8          |        20       |   3   |        3         |
| G?BDNw |         8          |        22       |   3   |        3         |
| G?BDM{ |         8          |        22       |   3   |        4         |
| G?BDJ{ |         8          |        22       |   3   |        3         |
| G?BDN{ |         8          |        24       |   3   |        4         |
| G?B@nO |         8          |        18       |   4   |        3         |
| G?B@mW |         8          |        18       |   3   |        3         |
| G?B@lW |         8          |        18       |   3   |        3         |
| G?B@hw |         8          |        18       |   4   |        2         |
| G?B@no |         8          |        20       |   4   |        3         |
| G?B@nW |         8          |        20       |   3   |        3         |
| G?B@lw |         8          |        20       |   3   |        3         |
| G?B@m[ |         8          |        20       |   3   |        3         |
| G?B@l[ |         8          |        20       |   3   |        3         |
| G?B@nw |         8          |        22       |   3   |        3         |
| G?B@n[ |         8          |        22       |   3   |        3         |
| G?B@n{ |         8          |        24       |   3   |        3         |
| G?BFfO |         8          |        20       |   4   |        2         |
| G?BFfo |         8          |        22       |   4   |        2         |
| G?BFfW |         8          |        22       |   3   |        3         |
| G?BFdw |         8          |        22       |   3   |        3         |
| G?BFfS |         8          |        22       |   3   |        3         |
| G?BFfw |         8          |        24       |   3   |        3         |
| G?BFfs |         8          |        24       |   3   |        3         |
| G?BFf[ |         8          |        24       |   3   |        3         |
| G?BFd{ |         8          |        24       |   3   |        3         |
| G?BFf{ |         8          |        26       |   3   |        3         |
| G?BDv_ |         8          |        20       |   4   |        2         |
| G?BDto |         8          |        20       |   4   |        2         |
| G?BDro |         8          |        20       |   4   |        2         |
| G?BDvG |         8          |        20       |   3   |        3         |
| G?BDvo |         8          |        22       |   4   |        2         |
| G?BDvg |         8          |        22       |   3   |        3         |
| G?BDtw |         8          |        22       |   3   |        3         |
| G?BDrw |         8          |        22       |   3   |        3         |
| G?BDvc |         8          |        22       |   3   |        3         |
| G?BDts |         8          |        22       |   3   |        3         |
| G?BDrs |         8          |        22       |   3   |        3         |
| G?BDvK |         8          |        22       |   3   |        3         |
| G?BDvw |         8          |        24       |   3   |        3         |
| G?BDvs |         8          |        24       |   3   |        3         |
| G?BDvk |         8          |        24       |   3   |        3         |
| G?BDt{ |         8          |        24       |   3   |        3         |
| G?BDr{ |         8          |        24       |   3   |        3         |
| G?BDv{ |         8          |        26       |   3   |        3         |
| G?BFMo |         8          |        20       |   3   |        3         |
| G?BFNo |         8          |        22       |   3   |        3         |
| G?BFMw |         8          |        22       |   3   |        3         |
| G?BFLw |         8          |        22       |   3   |        3         |
| G?BFMs |         8          |        22       |   3   |        3         |
| G?BFNw |         8          |        24       |   3   |        3         |
| G?BFNs |         8          |        24       |   3   |        3         |
| G?BFM{ |         8          |        24       |   3   |        4         |
| G?BFL{ |         8          |        24       |   3   |        4         |
| G?BFN{ |         8          |        26       |   3   |        4         |
| G?BDnO |         8          |        20       |   3   |        3         |
| G?BDlo |         8          |        20       |   3   |        3         |
| G?BDjo |         8          |        20       |   3   |        3         |
| G?BDno |         8          |        22       |   3   |        3         |
| G?BDnW |         8          |        22       |   3   |        3         |
| G?BDlw |         8          |        22       |   3   |        3         |
| G?BDjw |         8          |        22       |   3   |        3         |
| G?BDnS |         8          |        22       |   3   |        3         |
| G?BDls |         8          |        22       |   3   |        3         |
| G?BDjs |         8          |        22       |   3   |        3         |
| G?BDm[ |         8          |        22       |   3   |        4         |
| G?BDl[ |         8          |        22       |   3   |        4         |
| G?BDj[ |         8          |        22       |   3   |        3         |
| G?BDnw |         8          |        24       |   3   |        3         |
| G?BDns |         8          |        24       |   3   |        3         |
| G?BDn[ |         8          |        24       |   3   |        4         |
| G?BDl{ |         8          |        24       |   3   |        4         |
| G?BDj{ |         8          |        24       |   3   |        3         |
| G?BDn{ |         8          |        26       |   3   |        4         |
| G?B@~_ |         8          |        20       |   4   |        3         |
| G?B@|o |         8          |        20       |   4   |        3         |
| G?B@~o |         8          |        22       |   4   |        3         |
| G?B@~g |         8          |        22       |   3   |        3         |
| G?B@|w |         8          |        22       |   3   |        3         |
| G?B@~c |         8          |        22       |   3   |        3         |
| G?B@|s |         8          |        22       |   3   |        3         |
| G?B@~K |         8          |        22       |   3   |        3         |
| G?B@|k |         8          |        22       |   3   |        3         |
| G?B@x{ |         8          |        22       |   3   |        3         |
| G?B@~w |         8          |        24       |   3   |        3         |
| G?B@~s |         8          |        24       |   3   |        3         |
| G?B@~k |         8          |        24       |   3   |        3         |
| G?B@|{ |         8          |        24       |   3   |        3         |
| G?B@~{ |         8          |        26       |   3   |        3         |
| G?BFvo |         8          |        24       |   4   |        2         |
