+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| G?bLf[ |         8          |        26       |   3   |        4         |
| G?bLd{ |         8          |        26       |   3   |        4         |
| G?bLb{ |         8          |        26       |   3   |        3         |
| G?bLf{ |         8          |        28       |   3   |        4         |
| G?bMPk |         8          |        22       |   3   |        3         |
| G?bMVo |         8          |        24       |   3   |        3         |
| G?bMVg |         8          |        24       |   3   |        3         |
| G?bMTw |         8          |        24       |   3   |        4         |
| G?bMTk |         8          |        24       |   3   |        3         |
| G?bMRk |         8          |        24       |   3   |        3         |
| G?bMVw |         8          |        26       |   3   |        4         |
| G?bMVk |         8          |        26       |   3   |        3         |
| G?bMT{ |         8          |        26       |   3   |        4         |
| G?bMV{ |         8          |        28       |   3   |        4         |
| G?bLV_ |         8          |        22       |   3   |        3         |
| G?bLSk |         8          |        22       |   3   |        3         |
| G?bLQk |         8          |        22       |   3   |        3         |
| G?bLVo |         8          |        24       |   3   |        3         |
| G?bLVg |         8          |        24       |   3   |        3         |
| G?bLUw |         8          |        24       |   3   |        4         |
| G?bLTw |         8          |        24       |   3   |        4         |
| G?bLUk |         8          |        24       |   3   |        3         |
| G?bLRk |         8          |        24       |   3   |        3         |
| G?bLS{ |         8          |        24       |   3   |        4         |
| G?bLVw |         8          |        26       |   3   |        4         |
| G?bLVk |         8          |        26       |   3   |        3         |
| G?bLU{ |         8          |        26       |   3   |        4         |
| G?bLV{ |         8          |        28       |   3   |        4         |
| G?bNbo |         8          |        24       |   3   |        3         |
| G?bNfo |         8          |        26       |   3   |        3         |
| G?bNfg |         8          |        26       |   3   |        3         |
| G?bNfW |         8          |        26       |   3   |        4         |
| G?bNdw |         8          |        26       |   3   |        4         |
| G?bNbw |         8          |        26       |   3   |        3         |
| G?bNfc |         8          |        26       |   3   |        3         |
| G?bNfS |         8          |        26       |   3   |        3         |
| G?bNds |         8          |        26       |   3   |        3         |
| G?bNbs |         8          |        26       |   3   |        3         |
| G?bNdk |         8          |        26       |   3   |        3         |
| G?bNe[ |         8          |        26       |   3   |        4         |
| G?bNd[ |         8          |        26       |   3   |        4         |
| G?bN`{ |         8          |        26       |   3   |        3         |
| G?bNfw |         8          |        28       |   3   |        4         |
| G?bNfs |         8          |        28       |   3   |        3         |
| G?bNfk |         8          |        28       |   3   |        3         |
| G?bNf[ |         8          |        28       |   3   |        4         |
| G?bNd{ |         8          |        28       |   3   |        4         |
| G?bNb{ |         8          |        28       |   3   |        3         |
| G?bNf{ |         8          |        30       |   3   |        4         |
| G?bNVo |         8          |        26       |   3   |        3         |
| G?bNVg |         8          |        26       |   3   |        3         |
| G?bNUw |         8          |        26       |   3   |        4         |
| G?bNTw |         8          |        26       |   3   |        4         |
| G?bNUs |         8          |        26       |   3   |        4         |
| G?bNTs |         8          |        26       |   3   |        4         |
| G?bNTk |         8          |        26       |   3   |        3         |
| G?bNS{ |         8          |        26       |   3   |        4         |
| G?bNVw |         8          |        28       |   3   |        4         |
| G?bNVs |         8          |        28       |   3   |        4         |
| G?bNVk |         8          |        28       |   3   |        3         |
| G?bNU{ |         8          |        28       |   3   |        4         |
| G?bNT{ |         8          |        28       |   3   |        4         |
| G?bNV{ |         8          |        30       |   3   |        4         |
| G?bLvo |         8          |        26       |   3   |        3         |
| G?bLvg |         8          |        26       |   3   |        3         |
| G?bLvW |         8          |        26       |   3   |        4         |
| G?bLtw |         8          |        26       |   3   |        4         |
| G?bLts |         8          |        26       |   3   |        4         |
| G?bLvw |         8          |        28       |   3   |        4         |
| G?bLvs |         8          |        28       |   3   |        4         |
| G?bLvk |         8          |        28       |   3   |        3         |
| G?bLv[ |         8          |        28       |   3   |        4         |
| G?bLt{ |         8          |        28       |   3   |        4         |
| G?bLv{ |         8          |        30       |   3   |        4         |
| G?bM^o |         8          |        26       |   3   |        4         |
| G?bM\w |         8          |        26       |   3   |        4         |
| G?bM^w |         8          |        28       |   3   |        4         |
| G?bM^k |         8          |        28       |   3   |        4         |
| G?bM\{ |         8          |        28       |   3   |        5         |
| G?bM^{ |         8          |        30       |   3   |        5         |
| G?bL^o |         8          |        26       |   3   |        4         |
| G?bL]w |         8          |        26       |   3   |        4         |
| G?bL[{ |         8          |        26       |   3   |        5         |
| G?bL^w |         8          |        28       |   3   |        4         |
| G?bL^k |         8          |        28       |   3   |        4         |
| G?bL]{ |         8          |        28       |   3   |        5         |
| G?bL^{ |         8          |        30       |   3   |        5         |
| G?bNvo |         8          |        28       |   3   |        3         |
| G?bNtw |         8          |        28       |   3   |        4         |
| G?bNvw |         8          |        30       |   3   |        4         |
| G?bNvs |         8          |        30       |   3   |        4         |
| G?bNt{ |         8          |        30       |   3   |        4         |
| G?bNv{ |         8          |        32       |   3   |        4         |
| G?bNno |         8          |        28       |   3   |        3         |
| G?bNnw |         8          |        30       |   3   |        4         |
| G?bNns |         8          |        30       |   3   |        3         |
| G?bNnk |         8          |        30       |   3   |        4         |
| G?bNn[ |         8          |        30       |   3   |        4         |
| G?bNl{ |         8          |        30       |   3   |        4         |
| G?bNj{ |         8          |        30       |   3   |        4         |
| G?bNn{ |         8          |        32       |   3   |        4         |
| G?bN^o |         8          |        28       |   3   |        4         |
| G?bN^w |         8          |        30       |   3   |        4         |
| G?bN^s |         8          |        30       |   3   |        4         |
| G?bN]{ |         8          |        30       |   3   |        5         |
| G?bN\{ |         8          |        30       |   3   |        5         |
| G?bN^{ |         8          |        32       |   3   |        5         |
| G?bL~w |         8          |        30       |   3   |        4         |
| G?bL|{ |         8          |        30       |   3   |        5         |
| G?bL~{ |         8          |        32       |   3   |        5         |
| G?bN~w |         8          |        32       |   3   |        4         |
| G?bN~{ |         8          |        34       |   3   |        5         |
| G?bvbo |         8          |        26       |   4   |        3         |
| G?bvfo |         8          |        28       |   3   |        3         |
| G?bvfg |         8          |        28       |   3   |        3         |
| G?bvbw |         8          |        28       |   3   |        3         |
| G?bvfK |         8          |        28       |   3   |        3         |
| G?bvbk |         8          |        28       |   3   |        3         |
| G?bve[ |         8          |        28       |   3   |        3         |
| G?bvb[ |         8          |        28       |   3   |        3         |
| G?bvfw |         8          |        30       |   3   |        3         |
| G?bvfk |         8          |        30       |   3   |        3         |
| G?bvf[ |         8          |        30       |   3   |        3         |
| G?bvb{ |         8          |        30       |   3   |        3         |
| G?bvf{ |         8          |        32       |   3   |        3         |
| G?bvVo |         8          |        28       |   3   |        3         |
| G?bvVg |         8          |        28       |   3   |        3         |
| G?bvVW |         8          |        28       |   3   |        3         |
| G?bvRw |         8          |        28       |   3   |        3         |
| G?bvVc |         8          |        28       |   3   |        3         |
| G?bvVS |         8          |        28       |   3   |        4         |
| G?bvUs |         8          |        28       |   3   |        4         |
| G?bvRs |         8          |        28       |   3   |        3         |
| G?bvVK |         8          |        28       |   3   |        3         |
| G?bvUk |         8          |        28       |   3   |        3         |
| G?bvRk |         8          |        28       |   3   |        3         |
| G?bvU[ |         8          |        28       |   3   |        4         |
| G?bvR[ |         8          |        28       |   3   |        3         |
| G?bvS{ |         8          |        28       |   3   |        4         |
| G?bvQ{ |         8          |        28       |   3   |        3         |
| G?bvVw |         8          |        30       |   3   |        3         |
| G?bvVs |         8          |        30       |   3   |        4         |
| G?bvVk |         8          |        30       |   3   |        3         |
| G?bvV[ |         8          |        30       |   3   |        4         |
| G?bvU{ |         8          |        30       |   3   |        4         |
| G?bvR{ |         8          |        30       |   3   |        3         |
| G?bvV{ |         8          |        32       |   3   |        4         |
| G?brvO |         8          |        26       |   3   |        3         |
| G?brvo |         8          |        28       |   3   |        3         |
| G?brvg |         8          |        28       |   3   |        3         |
| G?brvK |         8          |        28       |   3   |        3         |
| G?brrk |         8          |        28       |   3   |        3         |
| G?bru[ |         8          |        28       |   3   |        4         |
| G?brvw |         8          |        30       |   3   |        3         |
| G?brvk |         8          |        30       |   3   |        3         |
| G?brv[ |         8          |        30       |   3   |        4         |
| G?brv{ |         8          |        32       |   3   |        4         |
| G?bvvo |         8          |        30       |   3   |        3         |
| G?bvvg |         8          |        30       |   3   |        3         |
| G?bvvW |         8          |        30       |   3   |        3         |
| G?bvrw |         8          |        30       |   3   |        3         |
| G?bvvw |         8          |        32       |   3   |        3         |
| G?bvvs |         8          |        32       |   3   |        4         |
| G?bvr{ |         8          |        32       |   3   |        3         |
| G?bvv{ |         8          |        34       |   3   |        4         |
| G?bvnw |         8          |        32       |   3   |        3         |
| G?bvnk |         8          |        32       |   3   |        4         |
| G?bvn[ |         8          |        32       |   3   |        4         |
| G?bvj{ |         8          |        32       |   3   |        4         |
| G?bvn{ |         8          |        34       |   3   |        4         |
| G?bv^w |         8          |        32       |   3   |        3         |
| G?bv^s |         8          |        32       |   3   |        4         |
| G?bv^[ |         8          |        32       |   3   |        4         |
| G?bv]{ |         8          |        32       |   3   |        4         |
| G?bv^{ |         8          |        34       |   3   |        4         |
| G?br~[ |         8          |        32       |   3   |        4         |
| G?br~{ |         8          |        34       |   3   |        4         |
| G?bv~{ |         8          |        36       |   3   |        4         |
| G?bnVo |         8          |        28       |   3   |        3         |
| G?bnUk |         8          |        28       |   3   |        3         |
| G?bnRk |         8          |        28       |   3   |        3         |
| G?bnS{ |         8          |        28       |   3   |        4         |
| G?bnVw |         8          |        30       |   3   |        4         |
| G?bnVk |         8          |        30       |   3   |        3         |
| G?bnU{ |         8          |        30       |   3   |        4         |
| G?bnV{ |         8          |        32       |   3   |        4         |
| G?bmvo |         8          |        28       |   3   |        3         |
| G?bmvg |         8          |        28       |   3   |        3         |
| G?bmvW |         8          |        28       |   3   |        4         |
| G?bmuw |         8          |        28       |   3   |        4         |
| G?bmtw |         8          |        28       |   3   |        4         |
| G?bmvK |         8          |        28       |   3   |        3         |
| G?bmtk |         8          |        28       |   3   |        3         |
| G?bmrk |         8          |        28       |   3   |        3         |
| G?bmu[ |         8          |        28       |   3   |        4         |
| G?bmt[ |         8          |        28       |   3   |        4         |
| G?bmvw |         8          |        30       |   3   |        4         |
| G?bmvk |         8          |        30       |   3   |        3         |
| G?bmv[ |         8          |        30       |   3   |        4         |
| G?bmt{ |         8          |        30       |   3   |        4         |
| G?bmv{ |         8          |        32       |   3   |        4         |
| G?bnvo |         8          |        30       |   3   |        3         |
| G?bnvW |         8          |        30       |   3   |        4         |
| G?bnuw |         8          |        30       |   3   |        4         |
| G?bnvw |         8          |        32       |   3   |        4         |
| G?bnvs |         8          |        32       |   3   |        4         |
| G?bnv{ |         8          |        34       |   3   |        4         |
| G?bn^w |         8          |        32       |   3   |        4         |
| G?bn]{ |         8          |        32       |   3   |        5         |
| G?bn^{ |         8          |        34       |   3   |        5         |
| G?bm~w |         8          |        32       |   3   |        4         |
| G?bm|{ |         8          |        32       |   3   |        5         |
| G?bm~{ |         8          |        34       |   3   |        5         |
| G?bn~{ |         8          |        36       |   3   |        5         |
| G?b~vo |         8          |        32       |   3   |        3         |
| G?b~vw |         8          |        34       |   3   |        4         |
| G?b~vk |         8          |        34       |   3   |        3         |
| G?b~v[ |         8          |        34       |   3   |        4         |
| G?b~v{ |         8          |        36       |   3   |        4         |
| G?b~~{ |         8          |        38       |   3   |        5         |
| G?r@f? |         8          |        18       |   4   |        2         |
| G?r@d_ |         8          |        18       |   4   |        2         |
| G?r@eC |         8          |        18       |   4   |        2         |
| G?r@dC |         8          |        18       |   3   |        3         |
| G?r@cS |         8          |        18       |   3   |        3         |
| G?r@f_ |         8          |        20       |   4   |        2         |
| G?r@fO |         8          |        20       |   3   |        3         |
| G?r@do |         8          |        20       |   3   |        3         |
| G?r@fC |         8          |        20       |   3   |        3         |
| G?r@dc |         8          |        20       |   3   |        3         |
| G?r@eS |         8          |        20       |   3   |        3         |
| G?r@dS |         8          |        20       |   3   |        3         |
| G?r@fo |         8          |        22       |   3   |        3         |
| G?r@fW |         8          |        22       |   3   |        3         |
| G?r@fc |         8          |        22       |   3   |        3         |
| G?r@fS |         8          |        22       |   3   |        3         |
| G?r@ds |         8          |        22       |   3   |        3         |
| G?r@e[ |         8          |        22       |   3   |        3         |
| G?r@fw |         8          |        24       |   3   |        3         |
| G?r@fs |         8          |        24       |   3   |        3         |
| G?r@f[ |         8          |        24       |   3   |        3         |
| G?r@f{ |         8          |        26       |   3   |        3         |
| G?rFf_ |         8          |        24       |   4   |        2         |
| G?rFeW |         8          |        24       |   3   |        3         |
| G?rF`w |         8          |        24       |   4   |        3         |
| G?rFfo |         8          |        26       |   3   |        3         |
| G?rFfW |         8          |        26       |   3   |        3         |
| G?rFdw |         8          |        26       |   3   |        3         |
| G?rFfc |         8          |        26       |   3   |        3         |
| G?rFfS |         8          |        26       |   3   |        3         |
| G?rFds |         8          |        26       |   3   |        3         |
| G?rFe[ |         8          |        26       |   3   |        3         |
| G?rFd[ |         8          |        26       |   3   |        3         |
| G?rF`{ |         8          |        26       |   3   |        3         |
| G?rFfw |         8          |        28       |   3   |        3         |
| G?rFfs |         8          |        28       |   3   |        3         |
| G?rFf[ |         8          |        28       |   3   |        3         |
| G?rFd{ |         8          |        28       |   3   |        3         |
| G?rFf{ |         8          |        30       |   3   |        3         |
| G?rFV_ |         8          |        24       |   3   |        3         |
| G?rFVo |         8          |        26       |   3   |        3         |
| G?rFVg |         8          |        26       |   3   |        3         |
| G?rFUw |         8          |        26       |   3   |        3         |
| G?rFTw |         8          |        26       |   3   |        3         |
| G?rFUs |         8          |        26       |   3   |        4         |
| G?rFUk |         8          |        26       |   3   |        3         |
| G?rFS{ |         8          |        26       |   3   |        4         |
| G?rFVw |         8          |        28       |   3   |        3         |
| G?rFVs |         8          |        28       |   3   |        4         |
| G?rFVk |         8          |        28       |   3   |        3         |
| G?rFU{ |         8          |        28       |   3   |        4         |
| G?rFT{ |         8          |        28       |   3   |        4         |
| G?rFV{ |         8          |        30       |   3   |        4         |
| G?rDrg |         8          |        24       |   3   |        3         |
| G?rDvo |         8          |        26       |   3   |        3         |
| G?rDvg |         8          |        26       |   3   |        3         |
| G?rDvW |         8          |        26       |   3   |        3         |
| G?rDvS |         8          |        26       |   3   |        4         |
| G?rDts |         8          |        26       |   3   |        4         |
| G?rDrs |         8          |        26       |   3   |        3         |
| G?rDvK |         8          |        26       |   3   |        3         |
| G?rDrk |         8          |        26       |   3   |        3         |
| G?rDu[ |         8          |        26       |   3   |        4         |
| G?rDvw |         8          |        28       |   3   |        3         |
| G?rDvs |         8          |        28       |   3   |        4         |
| G?rDvk |         8          |        28       |   3   |        3         |
| G?rDv[ |         8          |        28       |   3   |        4         |
| G?rDv{ |         8          |        30       |   3   |        4         |
| G?rE^o |         8          |        26       |   3   |        3         |
| G?rE^w |         8          |        28       |   3   |        3         |
| G?rE^s |         8          |        28       |   3   |        4         |
| G?rE^{ |         8          |        30       |   3   |        4         |
| G?rFvo |         8          |        28       |   3   |        3         |
| G?rFvg |         8          |        28       |   3   |        3         |
| G?rFvW |         8          |        28       |   3   |        3         |
| G?rFtw |         8          |        28       |   3   |        3         |
| G?rFvw |         8          |        30       |   3   |        3         |
| G?rFvs |         8          |        30       |   3   |        4         |
| G?rFvk |         8          |        30       |   3   |        3         |
| G?rFv[ |         8          |        30       |   3   |        4         |
| G?rFt{ |         8          |        30       |   3   |        4         |
| G?rFv{ |         8          |        32       |   3   |        4         |
| G?rF]w |         8          |        28       |   3   |        3         |
| G?rF^w |         8          |        30       |   3   |        3         |
| G?rF]{ |         8          |        30       |   3   |        4         |
| G?rF^{ |         8          |        32       |   3   |        4         |
| G?rF~w |         8          |        32       |   3   |        3         |
| G?rF~{ |         8          |        34       |   3   |        4         |
| G?qbE_ |         8          |        18       |   4   |        2         |
| G?qb@o |         8          |        18       |   5   |        3         |
| G?qbF_ |         8          |        20       |   4   |        2         |
| G?qbEo |         8          |        20       |   3   |        3         |
| G?qbDo |         8          |        20       |   3   |        3         |
| G?qbFo |         8          |        22       |   3   |        3         |
| G?qbEw |         8          |        22       |   3   |        3         |
| G?qbBw |         8          |        22       |   3   |        3         |
| G?qbFw |         8          |        24       |   3   |        3         |
| G?qbF{ |         8          |        26       |   3   |        3         |
| G?qa`_ |         8          |        16       |   8   |        2         |
| G?qaf? |         8          |        18       |   4   |        2         |
| G?qad_ |         8          |        18       |   4   |        2         |
| G?qaeO |         8          |        18       |   3   |        3         |
| G?qadO |         8          |        18       |   3   |        3         |
| G?qa`o |         8          |        18       |   5   |        3         |
| G?qaeG |         8          |        18       |   3   |        3         |
| G?qabG |         8          |        18       |   3   |        3         |
| G?qacg |         8          |        18       |   3   |        3         |
| G?qaag |         8          |        18       |   4   |        3         |
| G?qa`g |         8          |        18       |   3   |        3         |
| G?qacW |         8          |        18       |   3   |        3         |
| G?qaaW |         8          |        18       |   3   |        3         |
| G?qa`W |         8          |        18       |   3   |        3         |
| G?qa_w |         8          |        18       |   4   |        3         |
| G?qacK |         8          |        18       |   3   |        3         |
| G?qa`K |         8          |        18       |   3   |        3         |
| G?qa_[ |         8          |        18       |   4   |        2         |
| G?qaf_ |         8          |        20       |   4   |        2         |
| G?qafO |         8          |        20       |   3   |        3         |
| G?qado |         8          |        20       |   3   |        3         |
| G?qafG |         8          |        20       |   3   |        3         |
| G?qaeg |         8          |        20       |   3   |        3         |
| G?qadg |         8          |        20       |   3   |        3         |
| G?qabg |         8          |        20       |   3   |        3         |
| G?qaeW |         8          |        20       |   3   |        3         |
| G?qadW |         8          |        20       |   3   |        3         |
| G?qabW |         8          |        20       |   3   |        3         |
| G?qacw |         8          |        20       |   3   |        3         |
| G?qaaw |         8          |        20       |   3   |        3         |
| G?qa`w |         8          |        20       |   3   |        3         |
| G?qaeK |         8          |        20       |   3   |        3         |
| G?qadK |         8          |        20       |   3   |        3         |
| G?qabK |         8          |        20       |   3   |        3         |
| G?qa`k |         8          |        20       |   3   |        3         |
| G?qac[ |         8          |        20       |   3   |        3         |
| G?qa`[ |         8          |        20       |   3   |        3         |
| G?qafo |         8          |        22       |   3   |        3         |
| G?qafg |         8          |        22       |   3   |        3         |
| G?qafW |         8          |        22       |   3   |        3         |
| G?qaew |         8          |        22       |   3   |        3         |
| G?qadw |         8          |        22       |   3   |        3         |
| G?qabw |         8          |        22       |   3   |        3         |
| G?qafK |         8          |        22       |   3   |        3         |
| G?qadk |         8          |        22       |   3   |        3         |
| G?qae[ |         8          |        22       |   3   |        3         |
| G?qad[ |         8          |        22       |   3   |        3         |
| G?qab[ |         8          |        22       |   3   |        3         |
| G?qa`{ |         8          |        22       |   3   |        3         |
| G?qafw |         8          |        24       |   3   |        3         |
| G?qafk |         8          |        24       |   3   |        3         |
| G?qaf[ |         8          |        24       |   3   |        3         |
| G?qad{ |         8          |        24       |   3   |        3         |
| G?qaf{ |         8          |        26       |   3   |        3         |
| G?qfBo |         8          |        22       |   3   |        3         |
| G?qfCw |         8          |        22       |   3   |        3         |
| G?qfFo |         8          |        24       |   3   |        3         |
| G?qfEw |         8          |        24       |   3   |        3         |
| G?qfBw |         8          |        24       |   3   |        3         |
| G?qfFc |         8          |        24       |   3   |        3         |
| G?qfEs |         8          |        24       |   3   |        3         |
| G?qfDs |         8          |        24       |   3   |        3         |
| G?qfFw |         8          |        26       |   3   |        3         |
| G?qfFs |         8          |        26       |   3   |        3         |
| G?qfF{ |         8          |        28       |   3   |        3         |
| G?qbf? |         8          |        20       |   4   |        2         |
| G?qbe_ |         8          |        20       |   4   |        2         |
| G?qbdO |         8          |        20       |   3   |        3         |
| G?qbbO |         8          |        20       |   3   |        3         |
| G?qbcW |         8          |        20       |   3   |        3         |
| G?qb_w |         8          |        20       |   4   |        3         |
| G?qbf_ |         8          |        22       |   4   |        2         |
| G?qbfO |         8          |        22       |   3   |        3         |
| G?qbeo |         8          |        22       |   3   |        3         |
| G?qbdo |         8          |        22       |   3   |        3         |
| G?qbbo |         8          |        22       |   3   |        3         |
| G?qbeW |         8          |        22       |   3   |        3         |
| G?qbbW |         8          |        22       |   3   |        3         |
| G?qbcw |         8          |        22       |   3   |        3         |
| G?qbaw |         8          |        22       |   3   |        3         |
| G?qbbc |         8          |        22       |   3   |        3         |
| G?qbbS |         8          |        22       |   3   |        3         |
| G?qbfo |         8          |        24       |   3   |        3         |
| G?qbfW |         8          |        24       |   3   |        3         |
| G?qbew |         8          |        24       |   3   |        3         |
| G?qbbw |         8          |        24       |   3   |        3         |
| G?qbfc |         8          |        24       |   3   |        3         |
| G?qbfS |         8          |        24       |   3   |        3         |
| G?qbes |         8          |        24       |   3   |        3         |
| G?qbds |         8          |        24       |   3   |        3         |
| G?qbbs |         8          |        24       |   3   |        3         |
| G?qbe[ |         8          |        24       |   3   |        3         |
| G?qbb[ |         8          |        24       |   3   |        3         |
| G?qbc{ |         8          |        24       |   3   |        3         |
| G?qba{ |         8          |        24       |   3   |        3         |
| G?qbfw |         8          |        26       |   3   |        3         |
| G?qbfs |         8          |        26       |   3   |        3         |
| G?qbf[ |         8          |        26       |   3   |        3         |
| G?qbe{ |         8          |        26       |   3   |        3         |
| G?qbb{ |         8          |        26       |   3   |        3         |
| G?qbf{ |         8          |        28       |   3   |        3         |
| G?qdV_ |         8          |        22       |   3   |        3         |
| G?qdUg |         8          |        22       |   3   |        3         |
| G?qdTg |         8          |        22       |   3   |        3         |
| G?qdRg |         8          |        22       |   3   |        3         |
| G?qdPw |         8          |        22       |   3   |        3         |
| G?qdVo |         8          |        24       |   3   |        3         |
| G?qdVg |         8          |        24       |   3   |        3         |
| G?qdUw |         8          |        24       |   3   |        3         |
| G?qdTw |         8          |        24       |   3   |        3         |
| G?qdRw |         8          |        24       |   3   |        3         |
| G?qdVc |         8          |        24       |   3   |        3         |
| G?qdUs |         8          |        24       |   3   |        4         |
| G?qdTs |         8          |        24       |   3   |        4         |
| G?qdTk |         8          |        24       |   3   |        3         |
| G?qdVw |         8          |        26       |   3   |        3         |
| G?qdVs |         8          |        26       |   3   |        4         |
| G?qdVk |         8          |        26       |   3   |        3         |
| G?qdT{ |         8          |        26       |   3   |        4         |
| G?qdV{ |         8          |        28       |   3   |        4         |
| G?qbV_ |         8          |        22       |   3   |        3         |
| G?qbUg |         8          |        22       |   3   |        3         |
| G?qbTg |         8          |        22       |   3   |        3         |
| G?qbSs |         8          |        22       |   3   |        3         |
| G?qbVo |         8          |        24       |   3   |        3         |
| G?qbVg |         8          |        24       |   3   |        3         |
| G?qbUw |         8          |        24       |   3   |        3         |
| G?qbTw |         8          |        24       |   3   |        3         |
| G?qbRw |         8          |        24       |   3   |        3         |
| G?qbUs |         8          |        24       |   3   |        4         |
| G?qbTs |         8          |        24       |   3   |        3         |
| G?qbS{ |         8          |        24       |   3   |        3         |
| G?qbQ{ |         8          |        24       |   3   |        4         |
| G?qbVw |         8          |        26       |   3   |        3         |
| G?qbVs |         8          |        26       |   3   |        4         |
| G?qbU{ |         8          |        26       |   3   |        4         |
| G?qbT{ |         8          |        26       |   3   |        4         |
| G?qbV{ |         8          |        28       |   3   |        4         |
| G?q`v? |         8          |        20       |   4   |        3         |
| G?q`qg |         8          |        20       |   5   |        3         |
| G?q`v_ |         8          |        22       |   4   |        3         |
| G?q`uo |         8          |        22       |   3   |        3         |
| G?q`to |         8          |        22       |   3   |        3         |
| G?q`vG |         8          |        22       |   3   |        3         |
| G?q`ug |         8          |        22       |   3   |        3         |
| G?q`uW |         8          |        22       |   3   |        3         |
| G?q`sw |         8          |        22       |   3   |        3         |
| G?q`qw |         8          |        22       |   3   |        3         |
| G?q`tS |         8          |        22       |   3   |        3         |
| G?q`vo |         8          |        24       |   3   |        3         |
| G?q`vg |         8          |        24       |   3   |        3         |
| G?q`vW |         8          |        24       |   3   |        3         |
| G?q`uw |         8          |        24       |   3   |        3         |
| G?q`tw |         8          |        24       |   3   |        3         |
| G?q`rw |         8          |        24       |   3   |        3         |
| G?q`vS |         8          |        24       |   3   |        3         |
| G?q`us |         8          |        24       |   3   |        3         |
| G?q`u[ |         8          |        24       |   3   |        3         |
| G?q`t[ |         8          |        24       |   3   |        4         |
| G?q`r[ |         8          |        24       |   3   |        3         |
| G?q`q{ |         8          |        24       |   3   |        3         |
| G?q`vw |         8          |        26       |   3   |        3         |
| G?q`vs |         8          |        26       |   3   |        3         |
| G?q`v[ |         8          |        26       |   3   |        4         |
| G?q`u{ |         8          |        26       |   3   |        3         |
| G?q`v{ |         8          |        28       |   3   |        4         |
| G?qfbo |         8          |        24       |   3   |        3         |
| G?qfbW |         8          |        24       |   3   |        3         |
| G?qffo |         8          |        26       |   3   |        3         |
| G?qffW |         8          |        26       |   3   |        3         |
| G?qfew |         8          |        26       |   3   |        3         |
| G?qfbw |         8          |        26       |   3   |        3         |
| G?qffc |         8          |        26       |   3   |        3         |
| G?qffS |         8          |        26       |   3   |        3         |
| G?qfbs |         8          |        26       |   3   |        3         |
| G?qfb[ |         8          |        26       |   3   |        3         |
| G?qffw |         8          |        28       |   3   |        3         |
| G?qffs |         8          |        28       |   3   |        3         |
| G?qff[ |         8          |        28       |   3   |        3         |
| G?qfe{ |         8          |        28       |   3   |        3         |
| G?qfb{ |         8          |        28       |   3   |        3         |
| G?qff{ |         8          |        30       |   3   |        3         |
| G?qfRg |         8          |        24       |   3   |        3         |
| G?qfVo |         8          |        26       |   3   |        3         |
| G?qfVg |         8          |        26       |   3   |        3         |
| G?qfUw |         8          |        26       |   3   |        3         |
| G?qfTw |         8          |        26       |   3   |        3         |
| G?qfRw |         8          |        26       |   3   |        3         |
| G?qfRs |         8          |        26       |   3   |        4         |
| G?qfRk |         8          |        26       |   3   |        3         |
| G?qfVw |         8          |        28       |   3   |        3         |
| G?qfVs |         8          |        28       |   3   |        4         |
| G?qfVk |         8          |        28       |   3   |        3         |
| G?qfU{ |         8          |        28       |   3   |        4         |
| G?qfT{ |         8          |        28       |   3   |        4         |
| G?qfR{ |         8          |        28       |   3   |        4         |
| G?qfV{ |         8          |        30       |   3   |        4         |
| G?qerg |         8          |        24       |   3   |        3         |
| G?qevo |         8          |        26       |   3   |        3         |
| G?qevg |         8          |        26       |   3   |        3         |
| G?qevW |         8          |        26       |   3   |        3         |
| G?qeuw |         8          |        26       |   3   |        3         |
| G?qetw |         8          |        26       |   3   |        3         |
| G?qerw |         8          |        26       |   3   |        3         |
| G?qevc |         8          |        26       |   3   |        3         |
| G?qevS |         8          |        26       |   3   |        4         |
| G?qeus |         8          |        26       |   3   |        4         |
| G?qers |         8          |        26       |   3   |        4         |
| G?qevK |         8          |        26       |   3   |        3         |
| G?qetk |         8          |        26       |   3   |        3         |
| G?qerk |         8          |        26       |   3   |        3         |
| G?qeu[ |         8          |        26       |   3   |        4         |
| G?qet[ |         8          |        26       |   3   |        4         |
| G?qer[ |         8          |        26       |   3   |        4         |
| G?qeq{ |         8          |        26       |   3   |        4         |
| G?qep{ |         8          |        26       |   3   |        3         |
| G?qevw |         8          |        28       |   3   |        3         |
| G?qevs |         8          |        28       |   3   |        4         |
| G?qevk |         8          |        28       |   3   |        3         |
| G?qev[ |         8          |        28       |   3   |        4         |
| G?qeu{ |         8          |        28       |   3   |        4         |
| G?qet{ |         8          |        28       |   3   |        4         |
| G?qer{ |         8          |        28       |   3   |        4         |
| G?qev{ |         8          |        30       |   3   |        4         |
| G?qdrg |         8          |        24       |   3   |        3         |
| G?qdvo |         8          |        26       |   3   |        3         |
| G?qdvg |         8          |        26       |   3   |        3         |
| G?qdvW |         8          |        26       |   3   |        3         |
| G?qduw |         8          |        26       |   3   |        3         |
| G?qdtw |         8          |        26       |   3   |        3         |
| G?qdrw |         8          |        26       |   3   |        3         |
| G?qdvc |         8          |        26       |   3   |        3         |
| G?qdvS |         8          |        26       |   3   |        4         |
| G?qdus |         8          |        26       |   3   |        4         |
| G?qdts |         8          |        26       |   3   |        4         |
| G?qdrs |         8          |        26       |   3   |        3         |
